,index,importance
0,PAIN,0.21606040286764722
1,species,0.16687342825602255
2,LEMA,0.08072429478305085
3,precip,0.07762111395999687
4,CHFU,0.05579659209102563
5,POMA,0.04302865101375689
6,HOMA,0.02795834483166667
7,PUPA,0.026407593734636664
8,co3,0.023974814471568226
9,cn,0.022553173216723853
10,mo,0.019182863486584427
11,p,0.018414448549553056
12,salinity,0.018046845004498345
13,k,0.0173819757744524
14,PLCO,0.016980952497067926
15,SASO,0.016294133608590868
16,ca,0.01561520950858299
17,random_noise,0.014672045469232706
18,c,0.013420666819273262
19,mg,0.011914773915923788
20,na,0.011771955720998388
21,cl,0.010883355408568895
22,ph,0.010671141605804534
23,CETE,0.009600467618640553
24,MESU,0.009446747792724763
25,RAPE,0.008496019177140168
26,BEMA,0.006428743421676021
27,CHMI,0.005397489553027948
28,POMO,0.004672389502103626
29,SOAS,0.004354712831804481
30,n,0.003457528054315019
31,MEEL,0.003171375639385913
32,SPRU,0.0026629932001668126
33,SCLA,0.002460309148457755
34,LYTR,0.002333443534043628
35,SUSP,0.0004541510757586893
36,COSQ,0.00035773890246928314
37,MEPO,0.0002656874116243724
38,FRPU,0.00019142654143397154
